time,temp,tmin,tmax,rhum,prcp,snwd,wspd,wpgt,pres,tsun,cldc
2021-05-24,28.7,22.5,35.0,34,0.0,,17.0,,1004.8,,
2021-05-25,29.8,22.3,36.9,25,0.0,,15.5,,1002.0,,
2021-05-26,30.5,22.6,38.0,24,0.0,,10.2,,999.5,,
2021-05-27,31.3,22.5,39.6,29,0.0,,10.4,,999.6,,
2021-05-28,31.9,25.8,38.7,44,0.0,,13.2,,1000.8,,
2021-05-29,31.6,27.2,36.8,50,0.0,,14.2,,1003.0,,
2021-05-30,30.3,18.5,36.5,51,32.0,,9.9,,1002.8,,
2021-05-31,29.4,25.8,38.0,51,0.0,,7.6,,1000.4,,
2021-06-01,26.9,20.6,38.0,48,18.0,,6.7,,1002.7,,
2021-06-02,30.1,23.5,34.8,57,0.0,,4.8,,1004.8,,
2021-06-03,29.2,23.4,34.8,48,0.2,,6.3,,1005.8,,
2021-06-04,29.5,23.5,35.2,49,0.0,,7.5,,1005.5,,
2021-06-05,28.9,22.0,35.0,50,10.9,,5.8,,1004.0,,
2021-06-06,31.7,24.4,37.3,50,3.0,,5.7,,1003.1,,
2021-06-07,32.8,26.2,38.0,45,0.0,,9.8,,1000.9,,
2021-06-08,34.2,27.4,40.4,42,0.0,,9.5,,998.0,,
2021-06-09,34.8,29.0,40.3,44,0.2,,6.7,,996.5,,
2021-06-10,31.9,27.8,36.0,56,1.0,,15.4,,998.2,,
2021-06-11,29.9,25.9,34.0,62,0.1,,12.1,,997.9,,
2021-06-12,29.7,21.2,36.0,62,47.0,,15.2,,999.1,,
2021-06-13,27.9,21.7,34.3,65,21.1,,10.2,,1000.3,,
2021-06-14,30.5,25.8,35.4,61,2.0,,8.5,,997.6,,
2021-06-15,30.8,26.0,37.2,52,0.0,,9.1,,994.0,,
2021-06-16,26.2,23.4,37.2,78,2.0,,7.5,,997.7,,
2021-06-17,30.2,24.2,33.0,68,16.0,,7.2,,1000.6,,
2021-06-18,30.1,27.4,34.8,66,0.0,,8.8,,1001.3,,
2021-06-19,28.2,23.8,33.0,64,0.3,,8.2,,1000.8,,
2021-06-20,28.0,23.7,33.2,66,0.8,,9.3,,1001.4,,
2021-06-21,29.3,24.4,34.2,63,0.0,,10.1,,1001.9,,
2021-06-22,30.9,25.2,36.9,52,0.0,,10.7,,1000.8,,
2021-06-23,31.6,25.7,38.1,46,0.0,,9.2,,1001.2,,
2021-06-24,31.0,27.4,35.2,58,0.2,,11.3,,1001.5,,
2021-06-25,30.8,25.2,36.8,52,0.0,,9.7,,1000.3,,
2021-06-26,29.3,22.1,38.5,52,4.1,,10.3,,1001.7,,
2021-06-27,30.6,25.0,37.0,56,0.0,,8.5,,1004.6,,
2021-06-28,31.9,27.3,37.4,53,0.0,,9.4,,1003.3,,
2021-06-29,33.3,27.2,39.1,44,0.0,,10.7,,999.3,,
2021-06-30,34.6,29.3,39.5,37,0.0,,11.8,,996.0,,
2021-07-01,33.9,29.0,39.0,46,0.0,,8.2,,994.8,,
2021-07-02,33.2,28.9,38.3,48,0.0,,7.1,,996.6,,
2021-07-03,31.6,22.4,39.9,56,11.9,,6.9,,1000.1,,
2021-07-04,32.7,27.6,37.5,55,0.0,,8.1,,1001.3,,
2021-07-05,31.7,27.3,36.5,55,0.0,,8.3,,1001.8,,
2021-07-06,32.4,27.0,37.3,54,0.0,,9.5,,1000.0,,
2021-07-07,33.9,29.0,38.5,45,0.0,,10.8,,998.4,,
2021-07-08,33.4,27.9,38.1,48,0.0,,7.2,,998.7,,
2021-07-09,31.7,27.8,35.7,58,0.3,,14.2,,1000.8,,
2021-07-10,32.3,29.1,35.6,57,0.5,,10.2,,1000.7,,
2021-07-11,31.1,28.0,35.2,64,1.8,,17.8,,1002.4,,
2021-07-12,29.7,26.9,37.5,62,0.0,,20.8,,1004.3,,
2021-07-13,29.0,24.8,34.1,72,21.1,,13.5,,1003.7,,
2021-07-14,28.4,26.0,33.0,69,0.0,,5.7,,1003.1,,
2021-07-15,29.8,25.8,33.2,70,0.3,,6.9,,1003.6,,
2021-07-16,32.2,27.6,36.8,67,0.0,,8.1,,1004.9,,
2021-07-17,30.7,27.0,34.4,71,2.8,,6.8,,1001.9,,
2021-07-18,28.9,25.6,32.9,80,5.7,,13.9,,998.5,,
2021-07-19,26.0,25.2,26.8,90,45.2,,9.9,,998.4,,
2021-07-20,27.3,24.2,30.2,83,0.5,,9.7,,998.4,,
2021-07-21,28.0,24.8,31.6,81,3.0,,4.7,,997.4,,
2021-07-22,27.1,24.6,30.2,84,6.7,,5.2,,997.6,,
2021-07-23,30.9,27.7,35.1,79,0.0,,5.2,,998.7,,
2021-07-24,29.3,26.4,32.2,78,0.3,,3.6,,999.4,,
